Function,Optimizer,Run,Best_Fitness,DStar_Mean_Expl,DStar_Mean_Exploit,DStar_AUC_Expl,DStar_AUC_Exploit,DStar_Early_5,DStar_Early_10,DStar_Xover,DStar_Conv,Hussain_Mean_Expl,Hussain_Mean_Exploit,Hussain_AUC_Expl,Hussain_AUC_Exploit,Hussain_Early_5,Hussain_Early_10,Hussain_Xover,Hussain_Conv
F1,GWO,1,4.639851787032174e-13,2.6086614050212695,97.39133859497873,2.5086614050213347,97.29133859497865,39.804527640904496,25.12981068100805,5,39,2.6086614050277386,97.39133859497227,2.5086614050275555,97.29133859497244,39.804527641003205,25.129810681070357,5,39
F1,GWO,2,1.4946780525313715e-12,2.6741726470926657,97.32582735290734,2.5741726470925785,97.22582735290742,40.58184370837961,25.606823075317266,6,37,2.6741726470992657,97.32582735290075,2.5741726470989326,97.22582735290108,40.58184370847978,25.606823075380472,6,37
F1,GWO,3,1.0824655776993224e-12,2.956867521726922,97.0431324782731,2.856867521726897,96.9431324782731,44.072459871145554,28.18665977259316,7,40,2.956867521734302,97.0431324782657,2.8568675217340282,96.94313247826597,44.07245987125555,28.18665977266351,7,40
F1,GWO,4,5.593322487663186e-13,2.5543423600972317,97.44565763990278,2.454342360097275,97.34565763990273,40.547443780033575,24.720367745520488,5,33,2.554342360103545,97.44565763989647,2.454342360103342,97.34565763989667,40.54744378013378,24.720367745581587,5,33
F1,GWO,5,1.5157458450097507e-12,2.6709091886705125,97.3290908113295,2.5709091886704325,97.22909081132957,41.14714908644306,25.751925505069657,6,38,2.670909188676985,97.32909081132303,2.5709091886766617,97.22909081132335,41.147149086542775,25.751925505132064,6,38
F1,GWO,6,4.3305024959215306e-13,2.6264502283988866,97.37354977160112,2.5264502283989563,97.27354977160104,41.40610104716145,25.43336114917549,6,35,2.6264502284053233,97.37354977159467,2.5264502284051478,97.27354977159484,41.40610104726292,25.43336114923781,6,35
F1,GWO,7,1.402061600079063e-12,2.936484349056029,97.06351565094397,2.8364843490559695,96.96351565094403,44.134239011737534,28.17009924643691,6,40,2.9364843490632624,97.06351565093674,2.8364843490629563,96.96351565093704,44.13423901184625,28.170099246506293,6,40
F1,GWO,8,1.7558465005959232e-13,2.6798996442186818,97.32010035578132,2.579899644218818,97.22010035578118,41.983900941353404,25.939616490976015,7,35,2.6798996442253236,97.32010035577467,2.5798996442252125,97.22010035577479,41.983900941457456,25.93961649104031,7,35
F1,GWO,9,4.232122073778708e-12,3.0091924717529768,96.99080752824702,2.9091924717526925,96.8908075282473,44.94066365910771,28.586185535093385,6,39,3.0091924717603464,96.99080752823964,2.909192471759818,96.89080752824017,44.94066365921778,28.586185535163406,6,39
F1,GWO,10,1.4928214278308565e-12,2.779977257881308,97.22002274211869,2.6799772578812324,97.12002274211878,40.8921494913954,26.491895345446068,6,38,2.779977257888203,97.2200227421118,2.6799772578878787,97.12002274211213,40.89214949149681,26.491895345511775,6,38
