Function,Optimizer,Run,Best_Fitness,DStar_Mean_Expl,DStar_Mean_Exploit,DStar_AUC_Expl,DStar_AUC_Exploit,DStar_Early_5,DStar_Early_10,DStar_Xover,DStar_Conv,Hussain_Mean_Expl,Hussain_Mean_Exploit,Hussain_AUC_Expl,Hussain_AUC_Exploit,Hussain_Early_5,Hussain_Early_10,Hussain_Xover,Hussain_Conv
F1,GWO,1,1223419272.7097418,15.720476886027654,84.27952311397235,15.695470259965553,84.25452974003446,36.352195138232915,34.05897269912634,5,1299,15.720476886066711,84.27952311393328,15.69547026000455,84.25452973999546,36.352195138323225,34.05897269921096,5,1299
F1,GWO,2,959543036.00224,15.363295918134325,84.63670408186567,15.33828918493403,84.61171081506598,35.74238114214137,32.791907219164166,7,1254,15.36329591817223,84.63670408182777,15.338289184971874,84.61171081502815,35.742381142229554,32.791907219245076,7,1254
F1,GWO,3,2445803293.6748233,15.386495306914869,84.61350469308512,15.361488444692833,84.58851155530716,35.82006895628143,32.12620700307479,6,1272,15.386495306952748,84.61350469304726,15.36148844473065,84.58851155526935,35.82006895636962,32.12620700315388,6,1272
F1,GWO,4,562308763.7545074,15.701280498245609,84.29871950175439,15.676273304962326,84.27372669503768,36.020576352266104,33.405083133531846,6,1292,15.701280498284245,84.29871950171577,15.676273305000896,84.27372669499911,36.02057635235474,33.40508313361404,6,1292
F1,GWO,5,2528396699.67942,15.645017838848405,84.3549821611516,15.62001025333542,84.32998974666458,36.146439597988056,33.450924262563355,6,1304,15.645017838888206,84.3549821611118,15.62001025337516,84.32998974662483,36.14643959808002,33.450924262648456,6,1304
F1,GWO,6,3463607609.7917805,14.802472876240145,85.19752712375985,14.777466003447628,85.17253399655237,34.16752773114842,30.83144261740691,6,1234,14.802472876277044,85.19752712372295,14.777466003484466,85.17253399651553,34.1675277312336,30.831442617483773,6,1234
F1,GWO,7,2842793597.421104,15.348831274285828,84.65116872571417,15.323824379905888,84.62617562009412,34.60280585283394,32.107989528231464,6,1262,15.348831274323734,84.65116872567626,15.323824379943733,84.62617562005627,34.60280585291939,32.10798952831076,6,1262
F1,GWO,8,515233784.3477945,15.558787007544366,84.44121299245563,15.53378019863083,84.41621980136917,36.161623633781204,34.16114210234603,6,1265,15.558787007582639,84.44121299241736,15.533780198669042,84.41621980133097,36.16162363387016,34.161142102430055,6,1265
F1,GWO,9,1707906416.1578028,14.736115239520714,85.26388476047929,14.711108250373309,85.23889174962669,35.162360425598315,31.64498241656798,6,1236,14.73611523955691,85.26388476044309,14.711108250409442,85.23889174959056,35.162360425684675,31.644982416645707,6,1236
F1,GWO,10,347773871.1221516,15.111164131553018,84.88883586844698,15.086157475812074,84.86384252418793,34.895872244743984,31.782702472269293,6,1257,15.111164131590424,84.88883586840957,15.08615747584942,84.86384252415058,34.89587224483037,31.782702472347964,6,1257
F1,GWO,11,1012005528.4145056,15.090031953601418,84.90996804639859,15.06502494880974,84.88497505119027,33.889809552600845,30.986961322152442,6,1255,15.090031953638901,84.9099680463611,15.065024948847162,84.88497505115284,33.88980955268503,30.986961322229412,6,1255
F1,GWO,12,2106251368.519096,15.466259863033015,84.53374013696698,15.441252649935494,84.5087473500645,34.94567847607307,31.758782182392043,7,1280,15.466259863071656,84.53374013692834,15.441252649974075,84.50874735002593,34.94567847616039,31.758782182471393,7,1280
F1,GWO,13,1366858793.2446477,14.827081379979951,85.17291862002007,14.802074621453007,85.14792537854699,33.80925111642096,31.083488195556743,6,1218,14.827081380016157,85.17291861998385,14.802074621489151,85.14792537851085,33.80925111650353,31.083488195632654,6,1218
F1,GWO,14,367567676.3419866,15.57842873606088,84.42157126393913,15.55342154184731,84.39657845815269,36.41552759679818,33.11573254747873,5,1276,15.578428736099113,84.42157126390087,15.553421541885488,84.39657845811452,36.41552759688756,33.11573254756001,5,1276
F1,GWO,15,4340301552.849263,14.411896475454867,85.58810352454513,14.386890180821483,85.56310981917852,33.94791132308032,30.910397633088877,5,1235,14.411896475489735,85.58810352451027,14.386890180856295,85.5631098191437,33.94791132316246,30.910397633163665,5,1235
F1,GWO,16,3331001770.5174236,14.547867573876228,85.45213242612377,14.522860710762684,85.42713928923732,33.859380756989616,31.175072697951734,5,1240,14.547867573911741,85.45213242608827,14.522860710798131,85.42713928920188,33.859380757072266,31.175072698027833,5,1240
F1,GWO,17,2050940019.5876718,15.264689027736061,84.73531097226395,15.239682294688329,84.71031770531167,35.903826538792316,32.84895260159773,5,1278,15.264689027774196,84.7353109722258,15.239682294726403,84.7103177052736,35.90382653888201,32.84895260167979,5,1278
F1,GWO,18,1044162383.7056993,15.426384769882741,84.57361523011726,15.401378068757325,84.54862193124266,36.434212059306525,33.281950425857005,5,1263,15.426384769921707,84.57361523007829,15.401378068796229,84.54862193120377,36.434212059398554,33.281950425941076,5,1263
F1,GWO,19,1520587515.0587335,14.921413998992696,85.07858600100731,14.89640711374541,85.0535928862546,33.45014874999632,31.468434453490012,4,1240,14.921413999029072,85.07858600097092,14.896407113781727,85.05359288621828,33.45014875007787,31.468434453566733,4,1240
F1,GWO,20,1682622968.5403192,15.430771508824597,84.56922849117541,15.405764620153729,84.54423537984627,33.46638029315973,31.028207016619437,7,1328,15.430771508862748,84.56922849113725,15.405764620191821,84.54423537980817,33.46638029324247,31.02820701669616,7,1328
